LMO3,PCSK5,VSIG1,BACH2,PDGFRB,CR2,RASL11A,RTN2,LGR6,TPT1,TNS3,DUSP6,ITGB1BP2,FAM83A,AZGP1,SCGB3A1,IFI27,STK32A,METRNL,SIX5,CD163L1,PCDHB9,LDLRAD3,ALOX15B,GLTPD2,DCUN1D3,TPSB2,ERVMER341,MTRNR2L12,AC005832.4,TBCE,group
23,3485,16,148,1,7,86,92,141,13229,153,516,7,3336,50,238,443,9,68,87,0,76,21,100,26,70,16,57,63,0,262,1
17,63448,2,155,45,0,1,6,73,1326,168,19,2,2175,32,7,246,18,38,7,7,1,6,12,24,14,0,0,16,11,103,1
3,4547,5,34,1,7,26,25,32,2767,99,132,4,347,8,18,1014,5,80,17,0,4,22,3,11,114,23,5,5,0,18,1
3,16403,7,17,8,12,5,17,24,1791,65,57,2,1242,14,13,1343,4,63,22,1,2,6,7,10,95,6,2,22,0,149,1
3,1206,0,8,2,0,7,60,114,5277,25,158,12,3978,134,169,410,10,70,60,0,2,3,15,20,45,0,46,39,27,126,1
1,12459,4,9,2,3,20,22,51,4331,83,84,5,2470,24,7,1388,5,58,18,0,2,2,4,10,47,1,14,37,15,77,1
7,13610,20,101,6,29,15,36,99,4355,161,196,2,1011,27,34,1452,6,154,32,2,9,2,3,21,84,93,15,16,19,49,1
3,4353,11,41,1,10,24,53,76,3058,325,214,23,1516,14,38,1289,0,267,19,0,5,9,4,19,158,13,12,0,1,82,1
0,1832,2,26,1,1,3,21,74,2030,34,217,2,855,29,5,244,0,200,2,1,0,0,0,1,140,5,0,18,4,116,1
28,2666,4,43,14,3,4,1,88,2062,111,98,0,702,13,6,1588,1,122,19,0,0,6,2,12,170,6,5,12,0,12,1
0,57,0,2,0,3,0,7,15,642,3,32,0,20,10,3,123,5,9,6,0,1,0,6,0,17,0,6,3,2,130,1
21,1064,16,55,2,32,56,110,156,9151,272,327,8,3235,26,6,2039,20,105,72,0,3,30,27,39,140,217,50,36,0,137,1
3,181,7,93,32,7,12,29,42,2602,94,100,7,1308,49,47,1443,5,192,15,0,3,4,20,25,90,0,16,35,12,249,1
4,477,2,968,14,118,33,44,4,2540,104,97,3,1652,18,346,325,0,60,16,2,2,0,3,1,286,10,19,20,0,39,1
10,566,4,46,2,3,25,26,65,1286,22,96,7,3410,8,10,316,1,132,28,0,3,0,1,20,126,0,8,79,11,282,1
18,14623,11,90,12,12,37,158,73,5115,196,440,8,1520,30,18,3352,33,135,65,0,12,26,39,44,156,9,18,59,8,96,1
20,1323,0,2,2,0,1,0,12,140,7,15,0,236,8,33,206,0,20,0,0,1,0,5,2,26,0,0,18,0,1,1
90,7917,2,10,2,0,0,26,59,549,34,20,0,1032,5,0,968,1,5,10,0,2,1,0,6,115,0,8,15,0,6,1
21,9713,18,80,4,4,35,53,58,3146,172,134,8,1271,54,84,2976,13,53,41,0,3,21,8,15,127,8,28,74,38,70,1
16,23253,15,99,34,21,21,94,70,4279,132,143,5,1919,49,7,1660,4,121,74,21,5,6,5,37,179,15,10,93,0,95,1
11,21818,10,139,21,6,20,54,78,4845,96,185,15,1007,104,41,474,49,240,41,30,12,3,5,52,292,6,30,18,15,90,1
49,1692,1,27,1,0,41,35,176,2075,42,21,0,1061,10,6,837,6,89,40,3,4,0,2,10,156,10,23,22,7,13,1
2,868,3,106,2,7,9,6,31,2566,27,56,4,1828,27,32,2600,0,65,34,16,1,4,8,16,117,0,37,33,6,88,1
20,3014,6,36,1,17,36,85,91,4955,109,233,10,3224,22,25,2169,4,141,67,26,18,7,14,51,144,18,99,9,4,168,1
1,4097,12,68,14,8,23,56,72,2120,91,137,13,1803,27,7,1888,11,153,83,1,5,6,0,44,199,16,31,25,3,121,1
41,1373,11,11,0,8,17,79,159,3302,121,231,14,1073,15,49,488,5,56,76,1,10,19,8,41,371,16,50,9,14,24,1
17,888,6,38,8,17,20,110,145,4430,229,368,34,1751,34,39,3202,6,79,85,1,6,52,44,20,119,7,40,124,0,70,1
8,409,7,500,43,120,4,9,33,1724,221,178,9,1317,8,26,843,2,153,18,18,3,15,4,7,140,126,3,3,11,94,1
4,390,5,5,2,8,2,40,26,2223,63,240,4,346,12,14,315,1,216,11,0,4,3,4,13,467,29,3,15,0,91,1
5,2011,3,18,15,14,46,7,194,5652,125,99,7,2827,21,52,768,19,78,41,7,2,21,2,30,77,18,53,14,17,51630,1
20,1414,19,14,0,5,71,21,141,6335,95,160,9,4092,27,24,4434,2,39,52,33,6,2,6,56,154,1,48,26,50,498,1
3,15335,3,192,6,46,6,13,64,2166,94,105,1,1498,8,1,535,6,58,9,4,0,9,1,14,71,12,2,63,0,1211,1
6,489,18,73,1,12,14,44,71,2461,148,249,10,1500,27,1,712,20,92,14,1,2,4,3,38,301,91,3,31,0,108,1
168,223,1,84,0,0,0,0,59,184,2,1,0,195,11,4,115,0,22,0,0,0,0,0,0,104,2,0,2,2,0,1
10,221,1,22,0,0,1,2,37,345,1,55,0,59,1,1,47,0,6,1,0,1,5,0,3,358,0,0,4,0,1,1
2,14,0,4,1,1,0,2,11,350,23,10,0,346,2,4,90,0,2,1,0,0,0,0,0,28,0,0,9,3,25,1
0,1025,9,104,0,4,13,39,79,3337,171,203,1,3140,12,3,2932,10,97,17,1,2,35,1,8,55,99,14,46,0,1060,1
0,405,37,2224,15,126,22,96,66,8068,341,163,16,2155,10,7,416,1,154,33,3,5,11,3,3,134,22,28,21,0,179,1
9,1298,3,5,2,0,10,9,39,3000,47,45,3,4290,30,21,1963,2,45,20,1,2,1,4,24,36,3,2,40,0,11446,1
26,556,2,8,2,9,10,8,45,2912,35,114,3,3480,15,2,1182,1,118,23,0,3,3,5,4,89,5,4,103,0,601,1
4,55,0,8,0,0,19,12,31,2801,109,54,0,254,6,3,876,0,71,32,0,1,4,1,6,212,0,2,8,22,678,1
0,15,0,3,3,0,0,0,1,269,21,13,0,7,3,0,149,0,2,0,0,3,0,1,0,400,0,0,0,0,96,1
2,45,0,22,0,0,0,0,13,1576,24,29,0,50,23,3,534,0,27,7,0,2,6,6,1,657,0,0,0,4,280,1
0,20,5,4,15,0,0,15,0,69,12,5,0,4,0,0,91,0,4,2,0,0,0,0,0,4,0,0,1,0,12,1
25,4070,0,36,3,8,1,0,50,1480,13,16,0,1309,19,52,1461,1,30,7,2,0,1,6,7,56,0,0,81,0,6,1
6,18148,1,4,23,8,4,3,10,447,63,27,1,352,72,17,20,21,48,3,1,0,5,5,14,30,0,19,8,0,2,1
