LMO3,PCSK5,VSIG1,BACH2,PDGFRB,CR2,RASL11A,RTN2,LGR6,TPT1,TNS3,DUSP6,ITGB1BP2,FAM83A,AZGP1,SCGB3A1,IFI27,STK32A,METRNL,SIX5,CD163L1,PCDHB9,LDLRAD3,ALOX15B,GLTPD2,DCUN1D3,TPSB2,ERVMER341,MTRNR2L12,AC005832.4,TBCE,group
55,2268,63,80,111,22,39,272,21,11278,340,568,18,1599,104,93,295,11,509,123,12,15,16,17,72,440,20,59,494,33,286,0
0,5,0,0,0,0,0,5,4,365,20,6,0,49,0,0,18,0,50,2,1,1,0,1,0,127,0,7,0,0,123,0
8,443,3,8,374,12,41,13,15,5602,47,80,3,492,10,16,419,12,86,32,0,0,0,17,27,84,3,19,130,41,436,0
19,541,22,20,1,42,25,32,53,3457,73,78,18,2326,40,10,487,1,133,36,14,44,2,4,14,105,10,29,11,5,790,0
10,280,1,33,49,18,53,75,9,15096,533,371,2,1047,72,45,712,0,171,80,33,10,0,52,20,1284,1,32,255,28,388,0
26,348,10,35,3,11,6,4,47,2741,89,102,10,2253,26,17,402,5,85,66,1,18,3,5,16,101,11,42,3,0,1931,0
28,508,51,68,1,30,13,15,118,3047,63,46,13,6439,253,11,1624,31,39,52,35,17,5,22,26,113,31,50,3,14,1216,0
16,584,32,25,24,5,107,18,105,20933,283,213,3,4109,63,272,1060,28,153,338,17,84,27,123,83,273,8,129,28,79,9996,0
3,292,6,8,3,4,12,16,38,3099,125,80,9,1242,11,10,206,36,66,43,22,3,5,2,14,51,1,27,11,0,650,0
0,27,2,14,6,0,5,0,12,2735,10,94,0,122,27,0,128,14,6,3,1,0,0,0,0,66,6,4,3,0,796,0
4,73,3,4,2,0,0,1,33,2812,46,31,0,260,18,32,1352,0,2,11,0,31,4,16,0,34,5,0,1,0,965,0
17,890,39,19,592,6,24,47,8,5822,98,194,9,813,46,61,1969,20,90,104,1,2,0,25,22,286,81,34,266,75,587,0
39,1329,31,140,5,0,0,6,26,1557,2759,516,0,565,15,4,298,0,250,4,27,2,89,0,10,428,0,3,17,0,55,0
33,986,21,186,10,90,23,22,118,8990,127,82,11,1706,29,1676,296,21,47,146,20,16,24,60,36,162,81,50,1,18,341,0
33,14682,33,51,78,33,10,5,161,3876,140,105,17,5825,57,54,1990,20,90,67,18,3,3,7,28,160,23,30,6,6,681,0
40,354,19,28,0,26,44,63,18,3210,120,190,15,990,72,160,476,5,130,59,2,15,5,13,23,359,12,45,4,0,285,0
0,47,4,27,2,0,4,3,6,857,27,15,0,247,22,83,58,3,14,18,0,0,3,3,3,21,0,2,21,1,335,0
14,1260,73,63,47,52,33,149,41,8945,429,378,19,703,32,65,604,51,111,438,0,30,78,76,50,278,26,71,1070,9,93,0
2,177,38,100,31,11,14,18,82,6713,1122,426,30,2094,15,2,2186,5,420,30,5,3,56,12,27,287,8,26,5,10,1046,0
2,0,0,74,14,0,0,0,3,2820,1192,1069,0,280,0,0,655,0,158,0,152,56,0,0,91,383,0,0,25,0,618,0
4,270,0,117,52,0,0,39,32,3069,43,106,26,520,44,17,91,0,149,8,0,4,7,1,15,828,4,0,87,0,392,0
26,1976,30,967,18,68,37,51,89,7080,243,131,7,1984,12,103,1272,1,112,21,8,6,6,15,5,176,50,16,27,0,444,0
14,504,33,146,40,12,31,86,19,5111,2124,550,9,2911,65,11,568,4,681,49,28,18,88,11,40,1618,24,26,214,0,1217,0
8,844,39,43,2,24,18,51,35,2137,165,201,30,805,7,0,1197,26,207,61,22,2,6,8,22,137,11,9,20,24,1134,0
32,301,41,211,73,35,35,78,28,10002,950,1532,33,3579,74,36,2691,7,611,65,27,52,172,7,39,1060,296,13,368,0,1654,0
45,501,15,141,36,42,14,19,204,4265,302,221,11,1700,37,64,1761,18,105,129,2,18,48,23,34,214,1,66,1,4,863,0
20,1664,30,127,18,47,70,132,12,11196,213,985,19,1752,104,21,490,24,954,123,18,22,15,31,114,1035,18,37,433,3,701,0
27,243,22,2,26,29,7,25,15,2242,78,33,5,964,43,82,158,11,93,31,8,3,0,12,10,263,3,6,7,0,512,0
19,1272,21,85,2,17,37,94,47,4142,74,234,9,1302,101,241,545,15,171,57,37,25,13,27,67,161,2,27,24,24,125,0
0,51,0,13,8,0,7,19,9,1805,139,32,0,145,30,48,58,5,28,10,2,0,0,48,0,100,1,17,8,0,480,0
2,98,14,30,5,16,6,20,8,1542,57,187,4,236,39,4,138,2,161,10,0,2,1,3,13,248,3,6,3,2,266,0
6,715,27,159,11,13,30,25,47,2400,3155,685,24,743,56,49,1016,2,610,18,15,14,229,10,29,560,2,16,12,0,784,0
2,30,6,32,2,4,0,4,11,1040,352,136,0,357,12,3,384,1,92,12,2,1,34,2,0,48,45,1,6,0,107,0
3,241,5,138,4,0,2,10,12,1307,9,59,1,233,47,0,81,3,51,18,3,7,0,11,7,25,0,2,10,0,174,0
3,1441,23,57,6,8,17,44,52,2631,132,131,11,3354,75,10,1381,10,89,56,0,5,2,3,24,128,8,11,43,12,88,0
8,346,6,22,9,16,9,26,4,2782,109,87,4,677,25,9,171,0,120,35,7,7,4,0,12,539,31,17,88,0,262,0
0,98,4,13,2,8,9,67,21,3334,37,187,1,283,26,76,105,0,294,9,6,6,17,3,26,775,27,4,18,0,395,0
3,139,0,2,6,0,0,1,5,692,37,66,21,224,21,5,75,0,87,46,8,0,0,0,15,10,0,65,16,0,108,0
18,1128,12,65,0,10,9,15,59,2069,75,94,6,7447,62,9,1530,6,85,32,6,3,6,5,17,106,29,6,35,6,6317,0
12,1111,12,77,7,21,11,8,112,4100,309,111,11,2413,63,6,1836,10,71,100,11,10,27,3,23,195,4,38,4,14,763,0
18,92,2,0,6,0,28,4,10,1001,20,4,15,248,85,44,86,0,8,14,0,10,4,42,0,47,0,0,11,0,306,0
10,453,21,36,6,25,5,41,45,5850,98,146,4,3409,66,22,593,10,64,26,6,1,8,8,25,93,17,77,5,6,8716,0
5,11709,1,7,5,3,19,87,46,2791,43,90,2,6380,11,0,631,22,22,11,0,0,2,6,11,46,2,6,119,3,325,0
62,1300,25,95,40,56,63,15,269,19508,474,170,43,4830,113,144,3286,11,191,186,21,23,24,21,92,291,6,197,12,50,718,0
9,313,3,16,2,17,19,19,23,2946,33,107,8,910,8,19,80,2,176,35,1,28,1,0,18,218,0,51,4,0,217,0
10,451,0,42,317,6,51,62,48,14099,1057,631,12,545,60,0,1164,40,185,86,6,28,78,17,24,1065,56,55,120,42,1144,0
39,49,0,12,0,3,10,42,4,405,4,32,1,143,0,0,12,1,17,8,0,4,1,5,2,476,0,4,1,0,14,0
30,435,8,23,0,24,15,1,58,6869,144,74,10,2707,42,336,597,21,94,51,4,6,8,12,37,117,1,87,3,25,2509,0
6,142,9,5,415,0,1,0,6,3935,70,90,0,169,59,0,254,0,39,3,0,6,0,0,0,1271,0,0,44,0,469,1
74,891,40,192,76,47,58,91,23,6733,373,562,49,6344,195,49,2394,19,421,78,9,19,23,18,54,399,69,33,321,0,2024,1
